1681948858,0,10,12.7,23.15,34.46,240,0,4
1681952459,0,10,12.7,23.17,34.20,240,0,4
1681956000,0,10,12.7,22.92,34.25,240,0,4
1681959602,0,10,12.7,22.68,34.05,240,0,4
1681963203,0,10,12.7,22.43,33.81,240,0,4
1681966805,0,10,12.7,22.13,33.43,240,0,4
1681970406,0,10,12.7,21.87,33.45,240,0,4
1681974007,0,10,12.7,21.55,33.51,480,0,4
1681977609,0,10,12.7,21.28,33.14,240,0,4
1681981210,0,10,12.7,20.98,33.33,240,0,4
1681984811,0,10,12.7,21.85,32.56,240,0,4
1681988413,0,10,12.7,22.19,32.98,240,0,4
1681992014,0,10,12.7,21.70,33.47,240,0,4
1681995616,0,10,12.7,22.24,33.42,240,0,4
1681999217,0,10,12.7,22.37,33.35,240,0,4
1682002819,0,10,12.7,22.50,33.32,240,0,4
1682006420,0,10,12.7,22.68,33.16,480,0,4
1682010021,0,10,12.7,22.98,33.71,240,0,4
1682013623,0,10,12.7,23.34,33.71,240,0,4
1682017245,10,10,12.7,21.41,34.63,0,0,4
1682020846,10,10,12.7,23.77,34.36,0,0,4
1682024448,10,10,12.7,24.02,34.62,0,0,4
1682028049,10,10,12.7,24.40,35.27,0,0,4
1682031650,10,10,12.7,24.23,35.58,0,0,4
