1683331234,10,10,13.1,17.25,48.90,0,0,4
1683334835,10,10,13.0,15.78,54.92,0,0,4
1683338437,10,10,13.0,13.82,59.99,0,0,4
1683342038,10,10,13.0,13.17,61.80,0,0,4
1683345640,10,10,12.9,11.17,65.29,0,0,4
1683349241,10,10,12.9,9.81,65.17,0,0,4
1683352843,10,10,12.9,8.87,66.72,0,0,4
1683356444,10,10,12.9,8.99,70.32,240,0,4
1683360046,10,10,12.9,8.84,69.44,0,0,4
1683363647,10,10,12.9,8.26,68.95,0,0,4
1683367249,10,10,12.8,8.17,70.30,0,0,4
1683370850,10,10,13.0,8.87,71.46,0,0,4
1683374452,10,10,13.3,10.75,69.80,0,0,4
1683378053,10,10,14.0,29.44,27.26,0,0,4
1683381655,10,10,13.6,18.63,45.63,120,0,4
1683385257,10,10,14.5,30.78,26.23,0,0,4
1683388858,10,10,14.4,37.34,17.35,240,0,4
1683392400,10,10,13.6,39.38,15.89,0,0,4
1683396001,10,10,13.6,39.77,15.50,0,0,4
1683399603,10,10,14.4,43.01,14.08,360,0,4
1683403204,10,10,14.2,35.58,18.06,240,0,4
1683406806,10,10,13.4,30.28,20.99,180,0,4
1683410407,10,10,14.0,24.83,26.82,0,0,4
1683414009,10,10,13.5,23.00,29.43,0,0,4
